,Duration,Pulse,Maxpulse,Calories
0,60,110,130,409.1
1,60,117,145,479.0
4,45,117,148,406.0
35,60,114,140,415.0
51,80,123,146,643.1
53,60,118,151,486.0
55,60,121,146,450.7
56,60,118,121,413.0
60,210,108,160,1376.0
61,160,110,137,1034.4
62,160,109,135,853.0
65,180,90,130,800.4
66,150,105,135,873.4
67,150,107,130,816.0
69,300,108,143,1500.2
70,150,97,129,1115.0
72,90,100,127,700.0
73,150,97,127,953.2
75,90,98,125,563.2
78,120,100,130,500.4
79,270,100,131,1729.0
83,120,100,130,500.0
87,120,100,157,1000.1
90,180,101,127,600.1
99,90,93,124,604.1
101,90,90,110,500.0
102,90,90,100,500.0
103,90,90,100,500.4
106,180,90,120,800.3
108,90,90,120,500.3
109,210,137,184,1860.4
116,60,116,141,443.0
128,90,99,125,466.4
144,60,136,170,470.2
149,60,110,150,409.4
